Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Rodri,Manchester City,8.12,2938,34,0.25,0.7,102.9,1.3,0.8,0.2,0.0,8.0,1.0,0.0,0.2756977535738598,0.2450646698434309,rodri,manchester city,MF,0.021285162941991
Bukayo Saka,Arsenal,7.97,2933,35,0.49,1.1,33.4,1.1,0.5,0.1,0.0,4.0,0.0,0.0,0.2761677463348108,0.4602795772246846,bukayo saka,arsenal,FW,0.0303011094039566
Phil Foden,Manchester City,7.83,2865,35,0.6,1.5,46.7,0.6,0.4,0.0,0.0,2.0,0.0,1.0,0.2513089005235602,0.3141361256544502,phil foden,manchester city,MF,0.0119430311060822
Phil Foden,Manchester City,7.83,2865,35,0.6,1.5,46.7,0.6,0.4,0.0,0.0,2.0,0.0,1.0,0.2513089005235602,0.3141361256544502,phil foden,manchester city,FW,0.0050294417734194
Bruno Fernandes,Manchester United,7.83,3119,35,0.29,1.2,43.8,1.1,0.8,0.2,0.0,9.0,0.0,0.0,0.2308432189804424,0.6059634498236615,bruno fernandes,manchester united,MF,0.0132567155318767
Bruno Fernandes,Manchester United,7.83,3119,35,0.29,1.2,43.8,1.1,0.8,0.2,0.0,9.0,0.0,0.0,0.2308432189804424,0.6059634498236615,bruno fernandes,manchester united,FW,0.0021806554949779
Cole Palmer,Chelsea,7.78,2624,34,0.75,1.6,37.4,0.4,0.7,0.1,0.0,7.0,0.0,0.0,0.3772865853658537,0.5830792682926829,cole palmer,chelsea,MF,0.0088909496949071
Cole Palmer,Chelsea,7.78,2624,34,0.75,1.6,37.4,0.4,0.7,0.1,0.0,7.0,0.0,0.0,0.3772865853658537,0.5830792682926829,cole palmer,chelsea,FW,0.0055152294356507
Michael Olise,Crystal Palace,7.71,1277,19,0.7,1.5,35.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.4228660924040721,0.6342991386061081,michael olise,crystal palace,MF,0.0020000076391725
Michael Olise,Crystal Palace,7.71,1277,19,0.7,1.5,35.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.4228660924040721,0.6342991386061081,michael olise,crystal palace,FW,0.0099947416655248
Declan Rice,Arsenal,7.66,3230,38,0.2,0.6,56.3,1.4,1.2,0.3,0.0,5.0,0.0,2.0,0.2229102167182662,0.2507739938080495,declan rice,arsenal,MF,0.0157324530408331
Erling Haaland,Manchester City,7.64,2556,31,0.95,2.1,10.4,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.176056338028169,0.2112676056338028,erling haaland,manchester city,FW,0.0281805466331655
Mohamed Salah,Liverpool,7.64,2535,32,0.64,2.0,25.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.3550295857988166,0.7810650887573964,mohamed salah,liverpool,FW,0.028374209077542
Martin Ødegaard,Arsenal,7.64,3098,35,0.23,0.7,47.9,0.5,0.4,0.0,0.0,2.0,0.0,0.0,0.2905100064557779,0.4938670109748224,martin odegaard,arsenal,MF,0.0175899637080613
Eberechi Eze,Crystal Palace,7.6,2065,27,0.48,1.5,28.9,0.7,0.5,0.1,0.0,3.0,0.0,1.0,0.1743341404358353,0.3050847457627118,eberechi eze,crystal palace,MF,0.0040227643618257
Eberechi Eze,Crystal Palace,7.6,2065,27,0.48,1.5,28.9,0.7,0.5,0.1,0.0,3.0,0.0,1.0,0.1743341404358353,0.3050847457627118,eberechi eze,crystal palace,FW,0.0102783716784564
Bernardo Silva,Manchester City,7.57,2581,33,0.21,0.5,56.9,0.8,0.6,0.1,0.0,8.0,0.0,0.0,0.3138318481208834,0.4533126695079427,bernardo silva,manchester city,MF,0.012827226989455
Bernardo Silva,Manchester City,7.57,2581,33,0.21,0.5,56.9,0.8,0.6,0.1,0.0,8.0,0.0,0.0,0.3138318481208834,0.4533126695079427,bernardo silva,manchester city,FW,0.0030425490862457
Trent Alexander-Arnold,Liverpool,7.57,2159,28,0.13,0.3,55.9,1.1,1.3,0.1,0.0,6.0,0.0,0.0,0.1667438628994905,0.7086614173228346,trent alexander-arnold,liverpool,DF,0.0063007782738214
Josko Gvardiol,Manchester City,7.53,2328,28,0.15,0.5,59.1,1.3,1.0,0.5,0.0,3.0,0.0,0.0,0.0386597938144329,0.0773195876288659,josko gvardiol,manchester city,DF,0.0079656310512604
Alexis Mac Allister,Liverpool,7.51,2609,33,0.17,0.3,58.4,1.9,1.2,0.3,0.0,7.0,1.0,0.0,0.1724798773476427,0.1034879264085856,alexis mac allister,liverpool,MF,0.0131710743062695
Conor Gallagher,Chelsea,7.5,3135,37,0.14,0.5,50.7,1.5,1.2,0.3,0.0,7.0,1.0,0.0,0.200956937799043,0.3157894736842105,conor gallagher,chelsea,MF,0.0138049600336501
Andrew Robertson,Liverpool,7.48,1691,23,0.16,0.4,58.1,1.3,0.7,0.3,0.0,2.0,0.0,0.0,0.1064458900059136,0.5322294500295683,andrew robertson,liverpool,DF,0.0050079078638458
Julián Álvarez,Manchester City,7.47,2657,36,0.37,1.4,33.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.304855099736545,0.2371095220173127,julian alvarez,manchester city,MF,0.0075286505071497
Julián Álvarez,Manchester City,7.47,2657,36,0.37,1.4,33.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.304855099736545,0.2371095220173127,julian alvarez,manchester city,FW,0.0084733134144672
Ollie Watkins,Aston Villa,7.4,3221,37,0.53,1.3,12.7,0.2,0.1,0.1,0.0,4.0,0.0,0.0,0.3632412294318535,0.3073579633654145,ollie watkins,aston villa,FW,0.0249127389997916
Virgil van Dijk,Liverpool,7.39,3178,36,0.06,0.4,74.4,0.7,1.1,1.0,0.0,3.0,1.0,0.0,0.0566393958464443,0.0849590937696664,virgil van dijk,liverpool,DF,0.0104606454666248
Kyle Walker,Manchester City,7.36,2767,32,0.0,0.1,62.8,0.8,0.9,0.2,0.0,2.0,0.0,0.0,0.1301048066498012,0.2276834116371521,kyle walker,manchester city,DF,0.0073969418652019
Kyle Walker,Manchester City,7.36,2767,32,0.0,0.1,62.8,0.8,0.9,0.2,0.0,2.0,0.0,0.0,0.1301048066498012,0.2276834116371521,kyle walker,manchester city,MF,0.0009131178862299
Jérémy Doku,Manchester City,7.32,1593,29,0.17,1.1,38.2,1.2,0.5,0.0,0.0,3.0,0.0,0.0,0.4519774011299435,0.2824858757062147,jeremy doku,manchester city,MF,0.0056997467920448
Jérémy Doku,Manchester City,7.32,1593,29,0.17,1.1,38.2,1.2,0.5,0.0,0.0,3.0,0.0,0.0,0.4519774011299435,0.2824858757062147,jeremy doku,manchester city,FW,0.0030466861740255
Manuel Akanji,Manchester City,7.31,2513,30,0.07,0.2,77.1,1.0,0.8,0.4,0.0,2.0,1.0,0.0,0.0,0.0,manuel akanji,manchester city,DF,0.007289517499126
Manuel Akanji,Manchester City,7.31,2513,30,0.07,0.2,77.1,1.0,0.8,0.4,0.0,2.0,1.0,0.0,0.0,0.0,manuel akanji,manchester city,MF,0.0021258772880881
Luis Diaz,Liverpool,7.31,2646,37,0.27,1.1,29.6,0.9,0.1,0.0,0.0,3.0,0.0,0.0,0.1700680272108843,0.1700680272108843,luis diaz,liverpool,FW,0.0137631602593665
Kai Havertz,Arsenal,7.3,2639,37,0.44,1.0,25.8,0.5,0.7,0.0,0.0,11.0,0.0,0.0,0.2387267904509283,0.2728306176582039,kai havertz,arsenal,MF,0.00554934852569
Kai Havertz,Arsenal,7.3,2639,37,0.44,1.0,25.8,0.5,0.7,0.0,0.0,11.0,0.0,0.0,0.2387267904509283,0.2728306176582039,kai havertz,arsenal,FW,0.0186990243979348
Dominik Szoboszlai,Liverpool,7.28,2109,33,0.13,0.6,52.1,0.8,0.6,0.1,0.0,1.0,0.0,0.0,0.0853485064011379,0.2987197724039829,dominik szoboszlai,liverpool,MF,0.0116937418415526
Douglas Luiz,Aston Villa,7.28,3001,35,0.27,0.5,52.9,1.1,0.7,0.2,0.0,12.0,0.0,0.0,0.1499500166611129,0.2999000333222259,douglas luiz,aston villa,MF,0.0142362480596291
Nathan Aké,Manchester City,7.27,2044,29,0.09,0.2,72.3,0.7,0.6,0.1,0.0,0.0,0.0,0.0,0.0880626223091976,0.1320939334637964,nathan ake,manchester city,DF,0.0050580982670155
William Saliba,Arsenal,7.27,3420,38,0.05,0.1,69.2,0.7,0.8,0.4,0.0,4.0,0.0,1.0,0.0263157894736842,0.0,william saliba,arsenal,DF,0.0093367397113091
