Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Rodri,Manchester City,8.12,2938,34,0.25,0.7,102.9,1.3,0.8,0.2,0.0,8.0,1.0,0.0,0.2756977535738598,0.2450646698434309,rodri,manchester city,MF,0.018874019111762
Bukayo Saka,Arsenal,7.97,2933,35,0.49,1.1,33.4,1.1,0.5,0.1,0.0,4.0,0.0,0.0,0.2761677463348108,0.4602795772246846,bukayo saka,arsenal,FW,0.0353128036063303
Phil Foden,Manchester City,7.83,2865,35,0.6,1.5,46.7,0.6,0.4,0.0,0.0,2.0,0.0,1.0,0.2513089005235602,0.3141361256544502,phil foden,manchester city,MF,0.0123373280077885
Phil Foden,Manchester City,7.83,2865,35,0.6,1.5,46.7,0.6,0.4,0.0,0.0,2.0,0.0,1.0,0.2513089005235602,0.3141361256544502,phil foden,manchester city,FW,0.0043612334281841
Bruno Fernandes,Manchester United,7.83,3119,35,0.29,1.2,43.8,1.1,0.8,0.2,0.0,9.0,0.0,0.0,0.2308432189804424,0.6059634498236615,bruno fernandes,manchester united,MF,0.0134488782612047
Bruno Fernandes,Manchester United,7.83,3119,35,0.29,1.2,43.8,1.1,0.8,0.2,0.0,9.0,0.0,0.0,0.2308432189804424,0.6059634498236615,bruno fernandes,manchester united,FW,0.0020745957955623
Cole Palmer,Chelsea,7.78,2624,34,0.75,1.6,37.4,0.4,0.7,0.1,0.0,7.0,0.0,0.0,0.3772865853658537,0.5830792682926829,cole palmer,chelsea,MF,0.0092696323080231
Cole Palmer,Chelsea,7.78,2624,34,0.75,1.6,37.4,0.4,0.7,0.1,0.0,7.0,0.0,0.0,0.3772865853658537,0.5830792682926829,cole palmer,chelsea,FW,0.0054765340270815
Michael Olise,Crystal Palace,7.71,1277,19,0.7,1.5,35.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.4228660924040721,0.6342991386061081,michael olise,crystal palace,MF,0.0019284577512188
Michael Olise,Crystal Palace,7.71,1277,19,0.7,1.5,35.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.4228660924040721,0.6342991386061081,michael olise,crystal palace,FW,0.0100218583135112
