Player,Score,Category,team
James Trafford,0.03582741220147546,GK,Burnley
Ederson,0.03869213331029429,GK,Manchester City
Aaron Ramsdale,0.009945054498551388,GK,Arsenal
Matt Turner,0.022361992256270877,GK,Nottingham Forest
Neto,0.03763918365740011,GK,Bournemouth
Alphonse Aréola,0.04027150490339453,GK,West Ham
Jason Steele,0.021273796036354643,GK,Brighton
Thomas Kaminski,0.04451414908340765,GK,Luton
Jordan Pickford,0.04540875770947976,GK,Everton
Bernd Leno,0.04669606090193882,GK,Fulham
Wes Foderingham,0.007845646423583943,GK,Sheffield Utd
Sam Johnstone,0.02486707271538747,GK,Crystal Palace
Nick Pope,0.019720599754500183,GK,Newcastle
Emiliano Martínez,0.03931942910978785,GK,Aston Villa
Mark Flekken,0.043862610672498685,GK,Brentford
Guglielmo Vicario,0.04407815084573641,GK,Tottenham
Robert Sánchez,0.020894001429421206,GK,Chelsea
Alisson,0.03664542301802512,GK,Liverpool
André Onana,0.047020734181721105,GK,Manchester United
José Sá,0.040364547673973454,GK,Wolves
Bart Verbruggen,0.02831868386542296,GK,Brighton
Robin Olsen,0.00927662477576243,GK,Aston Villa
David Raya,0.04219769950689474,GK,Arsenal
Wesley Foderingham,0.03181804076897473,GK,Sheffield Utd
Thomas Strakosha,0.005262430937846625,GK,Brentford
Stefan Ortega,0.013310552219194437,GK,Manchester City
Ionuț Radu,0.005742747578168233,GK,Bournemouth
Odysseas Vlachodimos,0.008952240901660712,GK,Nottingham Forest
Daniel Bentley,0.009000726542462374,GK,Wolves
Caoimhin Kelleher,0.015235818648617248,GK,Liverpool
Martin Dúbravka,0.028750220203696195,GK,Newcastle
Łukasz Fabiański,0.012391076029109951,GK,West Ham
Remi Matthews,0.004214754580377214,GK,Crystal Palace
Đorđe Petrović,0.02829403633529308,GK,Chelsea
Dean Henderson,0.025072959969103956,GK,Crystal Palace
Ivo Grbić,0.012365801308330659,GK,Sheffield Utd
Matz Sels,0.021686609299071992,GK,Nottingham Forest
Loris Karius,0.004779488000559228,GK,Newcastle
Arijanet Murić,0.014274540326810591,GK,Burnley
Mark Travers,0.007913818311835482,GK,Bournemouth
James Shea,0.003892869507604206,GK,Luton
Connor Roberts,0.0026685732059515124,DF,Burnley
Ameen Al-Dakhil,0.0036001297033624955,DF,Burnley
Dara O'Shea,0.01060067317101749,DF,Burnley
Jordan Beyer,0.0063318848092141,DF,Burnley
Vitinho,0.00554890560758713,DF,Burnley
Kyle Walker,0.007396941865201911,DF,Manchester City
Manuel Akanji,0.007289517499126044,DF,Manchester City
Nathan Aké,0.005058098267015591,DF,Manchester City
Rico Lewis,0.001356480637959471,DF,Manchester City
Joško Gvardiol,0.007965631051260488,DF,Manchester City
Aymeric Laporte,0.0007232169050495959,DF,Manchester City
Thomas Partey,0.0019421917995392076,DF,Arsenal
Benjamin White,0.009313975243430231,DF,Arsenal
William Saliba,0.009336739711309109,DF,Arsenal
Jurriën Timber,0.0008335075346990393,DF,Arsenal
Takehiro Tomiyasu,0.0035247644581760124,DF,Arsenal
Gabriel Magalhães,0.010713928854865282,DF,Arsenal
Willy Boly,0.00781703527500179,DF,Nottingham Forest
Joe Worrall,0.0021454183470197424,DF,Nottingham Forest
Scott McKenna,0.0020815619504570074,DF,Nottingham Forest
Neco Williams,0.006164802497456456,DF,Nottingham Forest
Max Aarons,0.0035366149483065023,DF,Bournemouth
Illia Zabarnyi,0.010918020544543546,DF,Bournemouth
Marcos Senesi,0.008379969944672452,DF,Bournemouth
Miloš Kerkez,0.004913213724983229,DF,Bournemouth
Chris Mepham,0.002752484235529513,DF,Bournemouth
