Player,Score,Category,team
Nick Pope,0.043711266613431235,GK,Burnley
Asmir Begović,0.04479631228784473,GK,Bournemouth
Wayne Hennessey,0.034502803568061804,GK,Crystal Palace
Ben Foster,0.04417900727420705,GK,West Brom
Jonas Lössl,0.04570130786550162,GK,Huddersfield
David Ospina,0.009294432915473454,GK,Arsenal
Loris Karius,0.02407997822590424,GK,Liverpool
Mathew Ryan,0.047386684354958866,GK,Brighton
Sergio Romero,0.005142383309801003,GK,Manchester United
Heurelho Gomes,0.03373993809245753,GK,Watford
Martin Dúbravka,0.016709590493532336,GK,Newcastle
Thibaut Courtois,0.042223013215325435,GK,Chelsea
Alex McCarthy,0.027804388701682288,GK,Southampton
Claudio Bravo,0.006568900087140799,GK,Manchester City
Łukasz Fabiański,0.04500227170868492,GK,Swansea
Jack Butland,0.04168839658973083,GK,Stoke City
Hugo Lloris,0.04485854403096813,GK,Tottenham
Eldin Jakupović,0.0060326192887790705,GK,Leicester
Adrián,0.02418786936621401,GK,West Ham
Jordan Pickford,0.04664591644973795,GK,Everton
David De Gea,0.043918380862113755,GK,Manchester United
Petr Čech,0.04104358200006601,GK,Arsenal
Willy Caballero,0.007088691274565587,GK,Chelsea
Ederson,0.042432515686762644,GK,Manchester City
Ben Hamer,0.007456310001026261,GK,Leicester
Orestis Karnezis,0.018891291701894915,GK,Watford
Joe Hart,0.02538623271658591,GK,West Ham
Kasper Schmeichel,0.04268057802320562,GK,Leicester
Karl Darlow,0.014359120223990472,GK,Newcastle
Michel Vorm,0.005260213284854607,GK,Tottenham
Simon Mignolet,0.026472591360401983,GK,Liverpool
Julián Speroni,0.019251220230941612,GK,Crystal Palace
Robert Elliot,0.02136166622064277,GK,Newcastle
Fraser Forster,0.02514976891695723,GK,Southampton
Lee Grant,0.007277755772872463,GK,Stoke City
Paulo Gazzaniga,0.005434833501404748,GK,Tottenham
Boaz Myhill,0.005046714798104104,GK,West Brom
Tom Heaton,0.007232908984171649,GK,Burnley
Matthew Lowton,0.007629104645496656,DF,Burnley
Kevin Long,0.005105912105445941,DF,Burnley
James Tarkowski,0.00864684119307103,DF,Burnley
Stephen Ward,0.007640137041057291,DF,Burnley
Steve Cook,0.009322828263674723,DF,Bournemouth
Nathan Aké,0.010706064803909409,DF,Bournemouth
Tyrone Mings,0.001335191498154714,DF,Bournemouth
Aaron Wan-Bissaka,0.003113485670821226,DF,Crystal Palace
James Tomkins,0.00919745905078015,DF,Crystal Palace
Mamadou Sakho,0.006477388638987107,DF,Crystal Palace
Patrick van Aanholt,0.007670108986646326,DF,Crystal Palace
Pape Souaré,0.0007830413062276886,DF,Crystal Palace
Allan Nyom,0.006063919406755158,DF,West Brom
Craig Dawson,0.007980034902709664,DF,West Brom
Ahmed Hegazy,0.010581456445882776,DF,West Brom
Kieran Gibbs,0.006922363559144104,DF,West Brom
Florent Hadergjonaj,0.004057441192748203,DF,Huddersfield
Zanka,0.011347142909591847,DF,Huddersfield
Christopher Schindler,0.011342377022420252,DF,Huddersfield
Terence Kongolo,0.0042325782441135695,DF,Huddersfield
Chris Löwe,0.0051108441527236365,DF,Huddersfield
Héctor Bellerín,0.004987381321046212,DF,Arsenal
Shkodran Mustafi,0.011019383064044947,DF,Arsenal
Rob Holding,0.004250113354997123,DF,Arsenal
Sead Kolašinac,0.004191136736709942,DF,Arsenal
Nacho Monreal,0.010383725108036701,DF,Arsenal
Trent Alexander-Arnold,0.0057444516703640215,DF,Liverpool
Dejan Lovren,0.009544784903019982,DF,Liverpool
Virgil van Dijk,0.010138166638164255,DF,Liverpool
Andrew Robertson,0.0076347138563854534,DF,Liverpool
Ezequiel Schelotto,0.004377207227395154,DF,Brighton
Shane Duffy,0.009602455029208585,DF,Brighton
Lewis Dunk,0.012152476023707816,DF,Brighton
Gaëtan Bong,0.007499086264530927,DF,Brighton
Connor Goldson,0.001173934065972427,DF,Brighton
Matteo Darmian,0.0022083627172405883,DF,Manchester United
Eric Bailly,0.004271725422254893,DF,Manchester United
Marcos Rojo,0.002517342251078444,DF,Manchester United
Ashley Young,0.008424884374991773,DF,Manchester United
Luke Shaw,0.0032247749913618656,DF,Manchester United
Daryl Janmaat,0.005885241032232837,DF,Watford
Craig Cathcart,0.0020710115430157476,DF,Watford
Christian Kabasele,0.0074506638964363155,DF,Watford
José Holebas,0.005840182033464062,DF,Watford
Adrian Mariappa,0.008041127563170625,DF,Watford
DeAndre Yedlin,0.008242352437164095,DF,Newcastle
Jamaal Lascelles,0.008033589132677725,DF,Newcastle
Florian Lejeune,0.007161240362687877,DF,Newcastle
