Player,Category,total_score,seasons_played,avg_score,team
Virgil van Dijk,DF,0.1106216925996396,10,0.01106216925996396,Liverpool
Kyle Walker,DF,0.0881149429990941,10,0.00881149429990941,Manchester City
César Azpilicueta,DF,0.0872713036859569,8,0.010908912960744612,Chelsea
Andrew Robertson,DF,0.086933815750219,9,0.009659312861135444,Liverpool
Lewis Dunk,DF,0.0864880047301019,8,0.010811000591262738,Brighton
James Tarkowski,DF,0.0844791860704866,9,0.009386576230054067,Everton
Trent Alexander-Arnold,DF,0.0838266376841461,9,0.00931407085379401,Liverpool
Harry Maguire,DF,0.0832240560965749,9,0.009247117344063879,Manchester United
Jonny Evans,DF,0.0716220651209877,10,0.0071622065120987705,Manchester United
Nathan Aké,DF,0.0680747189961345,10,0.00680747189961345,Manchester City
Michael Keane,DF,0.0672555919399318,9,0.007472843548881312,Everton
Ben Mee,DF,0.0671265818528053,9,0.007458509094756145,Brentford
Kurt Zouma,DF,0.0664431725212718,9,0.007382574724585755,West Ham
Aaron Wan-Bissaka,DF,0.0661241298609874,8,0.008265516232623425,West Ham
Joel Ward,DF,0.0643920719292792,10,0.006439207192927921,Crystal Palace
Aaron Cresswell,DF,0.0641270641721621,10,0.00641270641721621,West Ham
John Stones,DF,0.06373128286428939,10,0.006373128286428939,Manchester City
Craig Dawson,DF,0.0629838578277455,9,0.006998206425305056,Wolves
Jan Bednarek,DF,0.0616000298326835,7,0.008800004261811928,Southampton
Fabian Schär,DF,0.0595546061094461,7,0.008507800872778014,Newcastle
Victor Lindelöf,DF,0.0567004060094956,8,0.00708755075118695,Manchester United
Ben Davies,DF,0.0560099249543997,10,0.00560099249543997,Tottenham
Dan Burn,DF,0.0558962113249047,6,0.00931603522081745,Newcastle
Toby Alderweireld,DF,0.055827736953166396,6,0.009304622825527733,Tottenham
Nicolás Otamendi,DF,0.0552205692057726,5,0.011044113841154519,Manchester City
Joël Matip,DF,0.0546641934051096,8,0.0068330241756387,Liverpool
Conor Coady,DF,0.0537556415572879,6,0.008959273592881317,Leicester
Angelo Ogbonna,DF,0.0535152929945298,9,0.005946143666058866,West Ham
Lucas Digne,DF,0.053512509062085004,7,0.007644644151726429,Aston Villa
Steve Cook,DF,0.0526555439044695,6,0.00877592398407825,Nottingham Forest
Ezri Konsa,DF,0.0522577217783745,6,0.00870962029639575,Aston Villa
Séamus Coleman,DF,0.051962278848109,10,0.0051962278848109,Everton
Rúben Dias,DF,0.0519068361650712,5,0.010381367233014239,Manchester City
Tyrone Mings,DF,0.051621086762975096,10,0.00516210867629751,Aston Villa
Eric Dier,DF,0.0513592442427064,9,0.005706582693634044,Tottenham
Jan Vertonghen,DF,0.0512576313088429,5,0.01025152626176858,Tottenham
Joachim Andersen,DF,0.050710811007076195,5,0.010142162201415238,Fulham
Luke Shaw,DF,0.0502385557159666,10,0.0050238555715966604,Manchester United
Adam Smith,DF,0.0500320938159627,8,0.0062540117269953375,Bournemouth
Patrick van Aanholt,DF,0.049961694988671895,6,0.00832694916477865,Crystal Palace
Ryan Bertrand,DF,0.049766200484528,7,0.007109457212075428,Leicester
Max Kilman,DF,0.0497436841071418,7,0.007106240586734543,West Ham
Ashley Young,DF,0.0480060808452588,9,0.0053340089828065335,Everton
Kieran Trippier,DF,0.0478061701193887,8,0.005975771264923588,Newcastle
Aymeric Laporte,DF,0.047391276470147,7,0.006770182352878143,Manchester City
Federico Fernández,DF,0.0473527001309905,7,0.006764671447284357,Newcastle
Jack Stephens,DF,0.0472919003421604,8,0.00591148754277005,Southampton
Antonio Rüdiger,DF,0.0464376814273557,5,0.00928753628547114,Chelsea
Nathaniel Clyne,DF,0.0463471885429147,9,0.005149687615879411,Crystal Palace
