Player,Category,total_score,seasons_played,avg_score,team
Mohamed Salah,FW,0.2211227207052777,8,0.02764034008815971,Liverpool
Harry Kane,FW,0.20539630867446151,8,0.02567453858430769,Tottenham
Jamie Vardy,FW,0.1669417767783531,9,0.0185490863087059,Leicester
Raheem Sterling,FW,0.1475284657090458,10,0.014752846570904579,Arsenal
Roberto Firmino,FW,0.1447317550385069,8,0.018091469379813364,Liverpool
Sadio Mané,FW,0.1285249763592609,7,0.018360710908465843,Liverpool
Gabriel Jesus,FW,0.1276412489081504,9,0.01418236098979449,Arsenal
Sergio Agüero,FW,0.1221232940466078,6,0.0203538823411013,Manchester City
Romelu Lukaku,FW,0.1095783608259514,5,0.021915672165190282,Chelsea
Ollie Watkins,FW,0.1073431322854055,5,0.0214686264570811,Aston Villa
Raúl Jiménez,FW,0.1021913763694999,7,0.014598768052785701,Fulham
Callum Wilson,FW,0.0972774358864916,10,0.00972774358864916,Newcastle
Troy Deeney,FW,0.09496057057356619,6,0.01582676176226103,Watford
Eden Hazard,FW,0.0920559921106843,4,0.023013998027671075,Chelsea
Chris Wood,FW,0.0919435109678159,8,0.011492938870976988,Nottingham Forest
Leandro Trossard,FW,0.0885860339930406,6,0.014764338998840101,Arsenal
Marcus Rashford,FW,0.08707191038769051,10,0.00870719103876905,Aston Villa
Bukayo Saka,FW,0.086799523421353,5,0.0173599046842706,Arsenal
Wilfried Zaha,FW,0.0855629810319653,8,0.010695372628995663,Crystal Palace
Riyad Mahrez,FW,0.0841022723419349,8,0.010512784042741863,Manchester City
Diogo Jota,FW,0.0832978793558712,7,0.011899697050838742,Liverpool
Erling Haaland,FW,0.0829250138691722,3,0.027641671289724067,Manchester City
Willian,FW,0.0824068231685679,8,0.010300852896070987,Fulham
Anthony Martial,FW,0.08212324605184801,9,0.009124805116872001,Manchester United
Danny Ings,FW,0.0804086278519274,9,0.008934291983547489,West Ham
Joshua King,FW,0.078274553695656,7,0.01118207909937943,Watford
Danny Welbeck,FW,0.0772240420176476,10,0.00772240420176476,Brighton
Jordan Ayew,FW,0.076847641594014,10,0.0076847641594014,Leicester
Michail Antonio,FW,0.0754501953460644,10,0.00754501953460644,West Ham
