Player,Category,total_score,seasons_played,avg_score,team
Jordan Pickford,GK,0.39412852001388476,10,0.03941285200138848,Everton
Łukasz Fabiański,GK,0.3757163325015813,10,0.03757163325015813,West Ham
David De Gea,GK,0.34689190504472,8,0.04336148813059,Manchester United
Ederson,GK,0.329401209714293,8,0.04117515121428662,Manchester City
Hugo Lloris,GK,0.320049843334937,8,0.04000623041686713,Tottenham
Kasper Schmeichel,GK,0.305304543283827,7,0.04361493475483243,Leicester
Alisson,GK,0.2901615000182542,7,0.0414516428597506,Liverpool
Nick Pope,GK,0.2740331357132759,7,0.03914759081618228,Newcastle
Bernd Leno,GK,0.2599298629149178,7,0.037132837559273976,Fulham
Ben Foster,GK,0.2437462065294119,6,0.04062436775490198,Watford
Emiliano Martínez,GK,0.2436573450914498,7,0.034808192155921396,Aston Villa
Aaron Ramsdale,GK,0.2229987228634523,6,0.03716645381057538,Southampton
Martin Dúbravka,GK,0.21427520063632619,8,0.026784400079540773,Newcastle
Alex McCarthy,GK,0.1852105818830791,8,0.023151322735384887,Southampton
Vicente Guaita,GK,0.1843967466859072,5,0.03687934933718144,Crystal Palace
Kepa Arrizabalaga,GK,0.1733143105797628,6,0.028885718429960464,Bournemouth
Fraser Forster,GK,0.1670508323861419,8,0.02088135404826774,Tottenham
José Sá,GK,0.16667076515397009,4,0.04166769128849252,Wolves
David Raya,GK,0.1591964594181026,4,0.03979911485452565,Arsenal
Dean Henderson,GK,0.1579930807996459,5,0.031598616159929184,Crystal Palace
Mathew Ryan,GK,0.1542891100295434,4,0.03857227750738585,Arsenal
Wayne Hennessey,GK,0.1528221718750109,7,0.02183173883928727,Nottingham Forest
Rui Patrício,GK,0.1432954454936021,3,0.047765148497867366,Wolves
Petr Čech,GK,0.1347075225613646,4,0.03367688064034115,Arsenal
Robert Sánchez,GK,0.1310731408675297,4,0.03276828521688242,Chelsea
Heurelho Gomes,GK,0.1265944375416585,3,0.0421981458472195,Watford
Alphonse Aréola,GK,0.1250043050163884,5,0.02500086100327768,West Ham
Illan Meslier,GK,0.1226675032459199,3,0.04088916774863997,Leeds
Thibaut Courtois,GK,0.11164057069385219,3,0.0372135235646174,Chelsea
Asmir Begović,GK,0.1115071200832711,6,0.018584520013878517,Everton
Jack Butland,GK,0.10491620684500741,5,0.020983241369001482,Crystal Palace
Adrián,GK,0.1042064064372233,5,0.02084128128744466,Liverpool
Simon Mignolet,GK,0.0999847525672882,3,0.033328250855762735,Liverpool
Artur Boruc,GK,0.0971836664897059,3,0.03239455549656863,Bournemouth
Sam Johnstone,GK,0.0969601833123026,4,0.02424004582807565,Wolves
Tom Heaton,GK,0.0969388088388333,4,0.024234702209708324,Aston Villa
Edouard Mendy,GK,0.0967127645606208,3,0.032237588186873604,Chelsea
Joe Hart,GK,0.0947077561418855,3,0.03156925204729517,Burnley
Jonas Lössl,GK,0.08973720731385829,3,0.029912402437952762,Brentford
Tim Krul,GK,0.0897305689695808,3,0.029910189656526934,Norwich
André Onana,GK,0.08864975983121609,2,0.044324879915608045,Manchester United
Mark Flekken,GK,0.0880150842150067,2,0.04400754210750335,Brentford
Neto,GK,0.0766934625601426,3,0.025564487520047533,Bournemouth
Guglielmo Vicario,GK,0.0721805424702527,2,0.03609027123512635,Tottenham
Bart Verbruggen,GK,0.0720755366793535,2,0.03603776833967675,Brighton
Karl Darlow,GK,0.06906653987159131,4,0.017266634967897827,Newcastle
Matz Sels,GK,0.0672329992367441,2,0.03361649961837205,Nottingham Forest
Willy Caballero,GK,0.0631691340847919,7,0.009024162012113129,Southampton
Jason Steele,GK,0.05458470005374819,4,0.013646175013437048,Brighton
Darren Randolph,GK,0.0517561494865119,4,0.012939037371627975,West Ham
Brad Guzan,GK,0.0502099490324177,2,0.02510497451620885,Middlesbrough
Joel Robles,GK,0.0497428076661428,3,0.016580935888714267,Leeds
Angus Gunn,GK,0.049321434910395,3,0.016440478303465,Norwich
Neil Etheridge,GK,0.048164084266921,1,0.048164084266921,Cardiff
Caoimhin Kelleher,GK,0.0473089611267166,5,0.00946179222534332,Liverpool
John Ruddy,GK,0.047308139064411496,4,0.011827034766102874,Wolves
Maarten Stekelenburg,GK,0.047161808528604104,2,0.023580904264302052,Everton
Robert Elliot,GK,0.0468043491452704,2,0.0234021745726352,Newcastle
Loris Karius,GK,0.0445146015310255,3,0.014838200510341834,Newcastle
Thomas Kaminski,GK,0.0444543196223699,1,0.0444543196223699,Luton
Mark Travers,GK,0.0436596915857826,5,0.008731938317156521,Bournemouth
Claudio Bravo,GK,0.0433039942407852,3,0.014434664746928401,Manchester City
Lee Grant,GK,0.042756244853595804,2,0.021378122426797902,Stoke City
Paulo Gazzaniga,GK,0.0416184616117417,4,0.010404615402935425,Tottenham
Danny Ward,GK,0.041430847314054296,3,0.0138102824380181,Leicester
Robin Olsen,GK,0.0391972512209399,5,0.00783945024418798,Aston Villa
Stefan Ortega,GK,0.0384846124635679,3,0.012828204154522634,Manchester City
Gavin Bazunu,GK,0.0375624341592248,1,0.0375624341592248,Southampton
Vito Mannone,GK,0.0374363246247709,2,0.01871816231238545,Sunderland
Sergio Rico,GK,0.0370796192877318,1,0.0370796192877318,Fulham
Arijanet Murić,GK,0.0367942343490054,2,0.0183971171745027,Ipswich
James Trafford,GK,0.0357945693410537,1,0.0357945693410537,Burnley
Víctor Valdés,GK,0.0354394083247036,1,0.0354394083247036,Middlesbrough
Robert Sanchez,GK,0.0351823041429723,1,0.0351823041429723,Brighton
Eldin Jakupović,GK,0.032650201072350504,2,0.016325100536175252,Leicester
Mads Hermansen,GK,0.0324025840872913,1,0.0324025840872913,Leicester
Boaz Myhill,GK,0.0323525216552481,2,0.01617626082762405,West Brom
Tim Howard,GK,0.031899462892686,1,0.031899462892686,Everton
Wesley Foderingham,GK,0.0318603802379178,1,0.0318603802379178,Sheffield Utd
Julián Speroni,GK,0.0296607388124345,3,0.009886912937478167,Crystal Palace
Đorđe Petrović,GK,0.0281733054247627,1,0.0281733054247627,Chelsea
Michel Vorm,GK,0.0259895188530277,4,0.006497379713256925,Tottenham
