Player,Category,total_score,seasons_played,avg_score,team
Kevin De Bruyne,MF,0.1671996864178566,10,0.01671996864178566,Manchester City
Christian Eriksen,MF,0.1011792009706393,9,0.011242133441182144,Manchester United
James Ward-Prowse,MF,0.0930534085510096,10,0.009305340855100961,West Ham
İlkay Gündoğan,MF,0.0929846411637709,8,0.011623080145471363,Manchester City
Rodri,MF,0.0875409250962704,6,0.014590154182711734,Manchester City
Bernardo Silva,MF,0.0840978581153139,8,0.010512232264414237,Manchester City
Jordan Henderson,MF,0.08260740105220139,8,0.010325925131525174,Liverpool
David Silva,MF,0.0822693430151958,5,0.01645386860303916,Manchester City
N'Golo Kanté,MF,0.0803464753656766,8,0.010043309420709575,Chelsea
Declan Rice,MF,0.07896708045865371,9,0.008774120050961523,Arsenal
Bruno Fernandes,MF,0.0784804219562169,6,0.01308007032603615,Manchester United
Granit Xhaka,MF,0.0742885438860303,7,0.010612649126575757,Arsenal
Youri Tielemans,MF,0.07111292388838919,7,0.010158989126912741,Aston Villa
Pierre-Emile Højbjerg,MF,0.0704740206066002,8,0.008809252575825025,Tottenham
James Maddison,MF,0.0696691114952368,7,0.009952730213605257,Tottenham
Pascal Groß,MF,0.0668490832343918,7,0.009549869033484542,Brighton
Martin Ødegaard,MF,0.0653992210668407,5,0.01307984421336814,Arsenal
Jorginho,MF,0.063709332168825,7,0.009101333166975001,Arsenal
Georginio Wijnaldum,MF,0.0632456240601459,6,0.01054093734335765,Liverpool
Fernandinho,MF,0.06259166473214961,7,0.008941666390307088,Manchester City
Mateo Kovačić,MF,0.0612606521976035,7,0.008751521742514786,Manchester City
Abdoulaye Doucouré,MF,0.060622807463161,9,0.006735867495906778,Everton
Alex Iwobi,MF,0.0591101774553711,10,0.0059110177455371105,Fulham
João Moutinho,MF,0.0572444219957728,5,0.01144888439915456,Wolves
Paul Pogba,MF,0.0565831176359549,6,0.009430519605992484,Manchester United
Nemanja Matić,MF,0.055716803260223796,7,0.007959543322889114,Manchester United
Mesut Özil,MF,0.0552418564369176,5,0.01104837128738352,Arsenal
Rúben Neves,MF,0.0525529434800138,5,0.01051058869600276,Wolves
Ashley Westwood,MF,0.052164721897503596,7,0.0074521031282148,Burnley
Douglas Luiz,MF,0.0520518532841458,5,0.01041037065682916,Aston Villa
Idrissa Gueye,MF,0.051765889217254904,7,0.007395127031036415,Everton
John McGinn,MF,0.0516026303142654,6,0.008600438385710901,Aston Villa
Dwight McNeil,MF,0.051541509658304605,7,0.007363072808329229,Everton
Wilfred Ndidi,MF,0.0492554125127699,8,0.006156926564096238,Leicester
Ross Barkley,MF,0.0485363890306712,9,0.005392932114519022,Aston Villa
Gylfi Sigurðsson,MF,0.0479129942120995,6,0.007985499035349916,Everton
James Milner,MF,0.0473983358539042,10,0.00473983358539042,Brighton
Oriol Romeu,MF,0.0459389029912685,8,0.005742362873908563,Southampton
Moussa Sissoko,MF,0.0449489781845797,7,0.0064212825977970995,Watford
Mark Noble,MF,0.0443855600178058,7,0.006340794288257972,West Ham
Riyad Mahrez,MF,0.0443351413891728,8,0.0055418926736466,Manchester City
Dele Alli,MF,0.0442551007509807,8,0.0055318875938725875,Everton
Alexis Mac Allister,MF,0.0435734109531287,6,0.007262235158854783,Liverpool
James McArthur,MF,0.0434200912731666,8,0.005427511409145825,Crystal Palace
Bruno Guimarães,MF,0.0429103879188966,4,0.01072759697972415,Newcastle
Fabinho,MF,0.042681759227680596,5,0.00853635184553612,Liverpool
Marc Albrighton,MF,0.0420976332537536,8,0.0052622041567192,Leicester
Jonjo Shelvey,MF,0.041809878747744,7,0.005972839821106286,Nottingham Forest
Cesc Fàbregas,MF,0.0412920536884727,4,0.010323013422118174,Chelsea
Luka Milivojević,MF,0.0394790877464066,7,0.005639869678058086,Crystal Palace
Jack Cork,MF,0.038746809100549395,8,0.004843351137568674,Burnley
Heung-Min Son,MF,0.0387364650268774,7,0.005533780718125343,Tottenham
Adam Lallana,MF,0.038429210254363896,10,0.0038429210254363896,Southampton
Willian,MF,0.038105548029404,8,0.0047631935036755,Fulham
Nathan Redmond,MF,0.0368741037540444,9,0.004097122639338267,Burnley
Solly March,MF,0.036557360569441,8,0.004569670071180125,Brighton
Moisés Caicedo,MF,0.0363999304615856,4,0.0090999826153964,Chelsea
Marcos Alonso,MF,0.0356002275310629,5,0.00712004550621258,Chelsea
Lewis Cook,MF,0.0350044330529539,7,0.005000633293279128,Bournemouth
Étienne Capoue,MF,0.0347866995999321,5,0.00695733991998642,Watford
Andreas Pereira,MF,0.0347266511683547,6,0.0057877751947257835,Fulham
Juan Mata,MF,0.0347159517801628,7,0.004959421682880399,Manchester United
Phil Foden,MF,0.0346566128669388,8,0.00433207660836735,Manchester City
Ryan Fraser,MF,0.0342964802395835,8,0.004287060029947938,Southampton
Yves Bissouma,MF,0.0337711644189583,7,0.0048244520598511855,Tottenham
Aaron Ramsey,MF,0.0336652183988172,5,0.006733043679763439,Burnley
Marcus Rashford,MF,0.0335049152115916,9,0.0037227683568435113,Aston Villa
Andros Townsend,MF,0.0333545564757383,8,0.004169319559467288,Luton
Thomas Partey,MF,0.0330732783609916,5,0.00661465567219832,Arsenal
Raheem Sterling,MF,0.0330037828010258,10,0.0033003782801025797,Arsenal
Jack Harrison,MF,0.0327729968554111,5,0.00655459937108222,Everton
Conor Gallagher,MF,0.0326032267751855,4,0.008150806693796375,Chelsea
Fred,MF,0.0323940914160681,5,0.006478818283213621,Manchester United
Enzo Fernández,MF,0.0316647893967565,3,0.010554929798918833,Chelsea
Harry Winks,MF,0.0315402142809234,7,0.004505744897274772,Leicester
Christian Nørgaard,MF,0.0314506853963078,4,0.00786267134907695,Brentford
Tomáš Souček,MF,0.0314138420011114,6,0.005235640333518567,West Ham
Jefferson Lerma,MF,0.0311780682478808,5,0.0062356136495761594,Crystal Palace
Will Hughes,MF,0.0304796501067438,7,0.004354235729534828,Crystal Palace
Eric Dier,MF,0.0303226938584584,5,0.00606453877169168,Tottenham
Cheikhou Kouyaté,MF,0.0302568156581901,9,0.0033618684064655666,Nottingham Forest
Manuel Lanzini,MF,0.030212143735416502,8,0.003776517966927063,West Ham
Andrew Surman,MF,0.0296848882074233,5,0.00593697764148466,Bournemouth
Jack Grealish,MF,0.0296599476773713,7,0.0042371353824816145,Manchester City
Ander Herrera,MF,0.0296378526243547,4,0.007409463156088675,Manchester United
Emre Can,MF,0.0290255523632292,3,0.0096751841210764,Liverpool
Sean Longstaff,MF,0.0289677690095187,7,0.004138252715645528,Newcastle
Scott McTominay,MF,0.0288826069203516,9,0.0032091785467057332,Manchester United
