Player,Category,total_score,seasons_played,avg_score,team
Aaron Connolly,FW,0.0077011190446831,3,0.0025670396815610334,Brighton
Aaron Connolly,MF,0.0005102372848866,1,0.0005102372848866,Brighton
Aaron Cresswell,DF,0.0641270641721621,10,0.00641270641721621,West Ham
Aaron Cresswell,MF,0.006211169513106,3,0.002070389837702,West Ham
Aaron Hickey,DF,0.0067393252282197,2,0.00336966261410985,Brentford
Aaron Hickey,MF,0.0013622052865966,2,0.0006811026432983,Brentford
Aaron Lennon,FW,0.0084774861805433,4,0.002119371545135825,Burnley
Aaron Lennon,MF,0.011329429440387302,6,0.0018882382400645503,Burnley
Aaron Mooy,FW,0.004775959627241999,2,0.0023879798136209997,Brighton
Aaron Mooy,MF,0.0248499528537958,3,0.008283317617931933,Brighton
Aaron Ramsdale,GK,0.2229987228634523,6,0.03716645381057538,Southampton
Aaron Ramsey,FW,0.0020926354844836,2,0.0010463177422418,Arsenal
Aaron Ramsey,MF,0.0336652183988172,5,0.006733043679763439,Burnley
Aaron Rowe,MF,0.0005619277318177,1,0.0005619277318177,Huddersfield
Aaron Wan-Bissaka,DF,0.0661241298609874,8,0.008265516232623425,West Ham
Aaron Wan-Bissaka,FW,0.001114773781384,1,0.001114773781384,Manchester United
Aaron Wan-Bissaka,MF,0.0100365117853842,3,0.0033455039284614,West Ham
Abdelhamid Sabiri,FW,0.0009146341463414,1,0.0009146341463414,Huddersfield
Abdelhamid Sabiri,MF,0.0017310615342706,2,0.0008655307671353,Huddersfield
Abdoulaye Doucouré,FW,0.011442069786835,2,0.0057210348934175,Everton
Abdoulaye Doucouré,MF,0.060622807463161,9,0.006735867495906778,Everton
Abdukodir Khusanov,DF,0.0023180524382939,1,0.0023180524382939,Manchester City
Abdul Baba Rahman,DF,0.0051396084487788,1,0.0051396084487788,Chelsea
Abdul Fatawu Issahaku,FW,0.0010830314094492,1,0.0010830314094492,Leicester
Abdul Fatawu Issahaku,MF,0.0014578366985605,1,0.0014578366985605,Leicester
Abel Hernández,FW,0.0065700427007601,1,0.0065700427007601,Hull City
Aboubakar Kamara,FW,0.0044608232858405,2,0.00223041164292025,Fulham
Aboubakar Kamara,MF,0.0012677429419089,2,0.00063387147095445,Fulham
Adam Armstrong,FW,0.0136365839247915,3,0.0045455279749305,Southampton
Adam Armstrong,MF,0.0022998741847375,2,0.00114993709236875,Southampton
Adam Clayton,MF,0.0067039041991097,1,0.0067039041991097,Middlesbrough
Adam Federici,GK,0.0158698832301357,2,0.00793494161506785,Bournemouth
Adam Forshaw,MF,0.013846869953948699,3,0.0046156233179829,Leeds
Adam Idah,FW,0.0039331821227753,2,0.00196659106138765,Norwich
Adam Idah,MF,0.0006099964951926,1,0.0006099964951926,Norwich
Adam Johnson,FW,0.0029572754223399,1,0.0029572754223399,Sunderland
Adam Johnson,MF,0.0031822496617243,1,0.0031822496617243,Sunderland
Adam Lallana,FW,0.0131175840531082,7,0.001873940579015457,Brighton
Adam Lallana,MF,0.038429210254363896,10,0.0038429210254363896,Southampton
Adam Masina,DF,0.0130195774096173,3,0.0043398591365391,Watford
Adam Masina,MF,0.0006009057101892,1,0.0006009057101892,Watford
Adam Matthews,DF,0.0008391306625209,1,0.0008391306625209,Sunderland
Adam Smith,DF,0.0500320938159627,8,0.0062540117269953375,Bournemouth
Adam Smith,MF,0.0070398731720352,6,0.0011733121953392,Bournemouth
Adam Webster,DF,0.042577093223601196,6,0.007096182203933533,Brighton
Adam Wharton,MF,0.0110400962883695,2,0.00552004814418475,Crystal Palace
Adama Diakhaby,FW,0.0017126948759394,1,0.0017126948759394,Huddersfield
Adama Diakhaby,MF,0.0006408501785792,1,0.0006408501785792,Huddersfield
Adama Diomandé,FW,0.0046027154973815,1,0.0046027154973815,Hull City
Adama Diomandé,MF,0.0008285674610649,1,0.0008285674610649,Hull City
Adama Traoré,DF,0.001102658248536,1,0.001102658248536,Wolves
Adama Traoré,FW,0.0591695263761315,8,0.007396190797016438,Fulham
Adama Traoré,MF,0.0141966503880029,8,0.0017745812985003626,Fulham
Ademola Lookman,FW,0.0195102898005268,5,0.0039020579601053602,Leicester
Ademola Lookman,MF,0.0101662204254512,3,0.0033887401418170667,Leicester
Adlène Guédioura,MF,0.0045189654598474,2,0.0022594827299237,Middlesbrough
Adnan Januzaj,FW,0.0034240134338042,1,0.0034240134338042,Sunderland
Adnan Januzaj,MF,0.0031804689206442,2,0.0015902344603221,Sunderland
Adrian Mariappa,DF,0.022318549972381602,5,0.0044637099944763205,Watford
Adrien Silva,FW,0.0010599288279095,1,0.0010599288279095,Leicester
Adrien Silva,MF,0.0027467914280124,2,0.0013733957140062,Leicester
Adrián,GK,0.1042064064372233,5,0.02084128128744466,Liverpool
Ahmed El-Mohamady,DF,0.0136302081610891,3,0.004543402720363033,Aston Villa
Ahmed El-Mohamady,MF,0.0033504351116605,2,0.00167521755583025,Aston Villa
Ahmed Hegazy,DF,0.0115418301494672,2,0.0057709150747336,West Brom
Ahmed Musa,FW,0.0016321585352957,1,0.0016321585352957,Leicester
Ahmed Musa,MF,0.0006035596931337,1,0.0006035596931337,Leicester
