Player,strength_E,last_team,last_season
Aaron Connolly,0.002486502867827768,Brighton and Hove Albion,2021
Aaron Cresswell,0.006359105772334301,West Ham United,2023
Aaron Hickey,0.003854693826374306,Brentford,2023
Aaron Lennon,0.0026313329027493723,Burnley,2021
Aaron Mooy,0.009646700534716177,Brighton and Hove Albion,2019
Aaron Ramsdale,0.03380200731857667,Arsenal,2023
Aaron Ramsey,0.004263527094209107,Burnley,2023
Aaron Rowe,0.0005619277318177,Huddersfield,2018
Aaron Wan-Bissaka,0.008636663765075539,Manchester United,2023
Abdelhamid Sabiri,0.0013414270646464393,Huddersfield,2018
Abdoulaye Doucouré,0.008392709509218487,Everton,2023
Abdul Baba Rahman,0.0051396084487788,Chelsea,2015
Abel Hernández,0.0065700427007601,Hull City,2016
Aboubakar Kamara,0.0026896414448362234,Fulham,2020
Adam Armstrong,0.005541080980210941,Southampton,2022
Adam Clayton,0.0067039041991097,Middlesbrough,2016
Adam Federici,0.007656263001857644,Bournemouth,2016
Adam Forshaw,0.003483213964798953,Leeds,2022
Adam Idah,0.0024985846673934308,Norwich,2021
Adam Johnson,0.0061395250840642,Sunderland,2015
Adam Lallana,0.0046874853997424465,Brighton and Hove Albion,2023
Adam Masina,0.004437155999261444,Watford,2021
Adam Matthews,0.0008391306625209,Sunderland,2015
Adam Smith,0.006886641628502805,Bournemouth,2023
Adam Webster,0.00721785933293256,Brighton and Hove Albion,2023
Adam Wharton,0.0058753319170756,Crystal Palace,2023
Adama Diakhaby,0.0023535450545186,Huddersfield,2018
Adama Diomandé,0.0054312829584464,Hull City,2016
Adama Traoré,0.00743563091673852,Fulham,2023
Ademola Lookman,0.007701766732947874,Leicester City,2021
Adlène Guédioura,0.0023072668475846575,Middlesbrough,2016
Adnan Januzaj,0.0036325859722883473,Sunderland,2016
Adrian Mariappa,0.004801655761151253,Watford,2019
Adrien Silva,0.0017667104940317362,Leicester City,2018
Adrián,0.016578801416105,Liverpool,2020
Ahmed El-Mohamady,0.004924389638363241,Aston Villa,2020
Ahmed Hegazy,0.004047021984309786,West Brom,2020
Ahmed Musa,0.0022357182284293998,Leicester City,2016
Aiden O'Neill,0.0005600089764585,Burnley,2016
Ainsley Maitland-Niles,0.0032246105619989705,Southampton,2022
Akin Famewo,0.0007665592520296,Norwich,2019
Alan Hutton,0.0068720329033131,Aston Villa,2015
Albert Adomah,0.0006845908301709,Middlesbrough,2016
Albert Sambi Lokonga,0.003528135887320023,Luton,2023
Alberto Moreno,0.0040882269228837715,Liverpool,2018
Alberto Paloschi,0.0030780181407868,Swansea,2015
Albian Ajeti,0.0011712012622987,West Ham United,2019
Aleix García,0.0008721361490634,Manchester City,2016
Alejandro Garnacho,0.005501501597035328,Manchester United,2023
Alejo Veliz,0.0007772020725387999,Tottenham Hotspur,2023
Alejo Véliz,0.0009365523212908,Tottenham Hotspur,2023
Aleksandar Dragović,0.0036140770038816,Leicester City,2017
Aleksandar Kolarov,0.009543991827525739,Manchester City,2016
Aleksandar Mitrović,0.00668024379825659,Fulham,2023
Alessandro Diamanti,0.0016431978800921,Watford,2015
Alex Iwobi,0.009249703428851508,Fulham,2023
Alex Král,0.0005208943566711,West Ham United,2021
Alex Matos,0.0007772020725387999,Chelsea,2023
Alex McCarthy,0.024597766265167957,Southampton,2022
Alex Mighten,0.0007978723404255,Nottingham Forest,2022
Alex Murphy,0.0007364310252224,Newcastle United,2023
Alex Oxlade-Chamberlain,0.0039205233283944214,Liverpool,2022
Alex Pritchard,0.004822319016193545,Huddersfield,2018
Alex Scott,0.0026859545264055,Bournemouth,2023
Alex Song,0.0022964417866528,West Ham United,2015
Alex Telles,0.005012609803517781,Manchester United,2021
Alexander Isak,0.013942202142839448,Newcastle United,2023
Alexander Sørloth,0.0012326637762532205,Crystal Palace,2018
Alexander Tettey,0.005367993966536462,Norwich,2019
Alexandre Jankewitz,0.0005114337518144,Southampton,2020
Alexandre Lacazette,0.015033327957526637,Arsenal,2021
Alexandre Pato,0.0018471319119396,Chelsea,2015
Alexis Mac Allister,0.009876481013641058,Liverpool,2023
Alexis Sánchez,0.017202426088176792,Manchester United,2018
Alfie Doughty,0.0104177604361659,Luton,2023
Alfie Gilchrist,0.001262644881771,Chelsea,2023
Alfie Mawson,0.0067556177466620865,Fulham,2018
Alfred N'Diaye,0.0019988809173899,Hull City,2016
Alireza Jahanbakhsh,0.0028253442702559557,Brighton and Hove Albion,2020
Alisson,0.04181326694024861,Liverpool,2023
Allan,0.004886281197681627,Everton,2021
Allan Nyom,0.007420022065788851,West Brom,2017
Allan Saint-Maximin,0.010438744973676261,Newcastle United,2022
Allan Tchaptchet,0.0007540095093989,Southampton,2020
Almen Abdi,0.0045969719965146,Watford,2015
Alphonse Aréola,0.023845450916168534,West Ham United,2023
Aly Cissokho,0.0052087647907924,Aston Villa,2015
Amad Diallo,0.0028621437195064194,Manchester United,2023
Amadou Diallo,0.0007772020725387999,Newcastle United,2023
Amadou Onana,0.005408297172055861,Everton,2023
Amari'i Bell,0.0074673834789828,Luton,2023
Ameen Al-Dakhil,0.0033323480548586,Burnley,2023
Anass Zaroury,0.0014536753593833,Burnley,2023
Ander Herrera,0.007710165451232131,Manchester United,2018
Andi Zeqiri,0.0009294536866363,Brighton and Hove Albion,2020
Andre Brooks,0.0019052161540069998,Sheffield Utd,2023
Andre Gray,0.006983259114820928,Watford,2019
Andre Green,0.0005837381217643,Aston Villa,2015
Andre Schürrle,0.006690084181031401,Fulham,2018
Andre Wisdom,0.002810847671982,Norwich,2015
Andrea Ranocchia,0.0050121858597393,Hull City,2016
Andreas Christensen,0.006272361494110532,Chelsea,2021
Andreas Pereira,0.008221113087830833,Fulham,2023
Andrej Kramarić,0.0008914471953716,Leicester City,2015
Andrew Eleftheriou,0.0010076928591287,Watford,2016
Andrew Moran,0.00046864788402709994,Brighton and Hove Albion,2022
Andrew Omobamidele,0.0025894814269275855,Nottingham Forest,2023
Andrew Robertson,0.009516646587588244,Liverpool,2023
Andrew Surman,0.004836564989043393,Bournemouth,2019
Andrey Santos,0.000482896307607,Nottingham Forest,2023
Andriy Yarmolenko,0.003511998045612885,West Ham United,2021
Andros Townsend,0.008112729729384701,Luton,2023
André Ayew,0.004042749513993562,Nottingham Forest,2022
André Carrillo,0.007478298872154201,Watford,2017
André Gomes,0.0022407289422002514,Everton,2023
André Onana,0.0471835986595966,Manchester United,2023
André Zambo Anguissa,0.008317347783689555,Fulham,2020
Andy Carroll,0.0043722477711744725,Newcastle United,2020
Andy King,0.002540054014371408,Swansea,2017
Anel Ahmedhodžić,0.0083401372334717,Sheffield Utd,2023
Angel Gomes,0.0010941925705687473,Manchester United,2019
Angeliño,0.0027332412578418,Manchester City,2019
Angelo Ogbonna,0.004681259355431421,West Ham United,2023
Angus Gunn,0.015814006622431306,Norwich,2021
Anis Ben Slimane,0.001433040723474,Sheffield Utd,2023
Ansu Fati,0.002359908302339,Brighton and Hove Albion,2023
Anthony Elanga,0.004997723690516794,Nottingham Forest,2023
Anthony Gordon,0.010113985573192003,Newcastle United,2023
Anthony Knockaert,0.007772240601442263,Brighton and Hove Albion,2018
Anthony Martial,0.008418039255613767,Manchester United,2023
Antoine Semenyo,0.004291121886433123,Bournemouth,2023
Antonee Robinson,0.011118295834414652,Fulham,2023
Antonio Barragán,0.009084454159882899,Middlesbrough,2016
Antonio Barreca,0.0007745949151903,Newcastle United,2018
Antonio Rüdiger,0.009562416560079978,Chelsea,2021
Antonio Valencia,0.006634613638578359,Manchester United,2018
Antony,0.005301177846958764,Manchester United,2023
Antwoine Hackford,0.0008276501981331285,Sheffield Utd,2023
Anwar El Ghazi,0.003436833833847737,Everton,2021
Arijanet Murić,0.0142529420073883,Burnley,2023
Armando Broja,0.003983563515756631,Fulham,2023
Armel Bella-Kotchap,0.0072138298369276,Southampton,2022
Arnaut Danjuma,0.0015182039886517883,Everton,2023
Aron Gunnarsson,0.0043476335821371,Cardiff,2018
Arouna Koné,0.0032916844591005866,Everton,2016
Arthur Masuaku,0.004236864294345027,West Ham United,2021
Artur Boruc,0.02906099025679679,Bournemouth,2018
Ashley Barnes,0.007362568282351709,Burnley,2021
Ashley Fletcher,0.0011022707204451964,Watford,2021
Ashley Westwood,0.008230534349068655,Burnley,2021
Ashley Williams,0.009299017563520574,Everton,2017
Ashley Young,0.00646948718968141,Everton,2023
Asmir Begović,0.013602412620669236,Everton,2022
Auston Trusty,0.0079248145592933,Sheffield Utd,2023
Axel Disasi,0.0106157776344482,Chelsea,2023
Axel Tuanzebe,0.0019048324330882011,Aston Villa,2021
Aymeric Laporte,0.005738785760230609,Manchester City,2023
Ayoze Pérez,0.006513324892620814,Leicester City,2022
Bacary Sagna,0.007277873179469482,Manchester City,2016
Badou Ndiaye,0.0021614030343149,Stoke City,2017
Bafetimbi Gomis,0.0129835608819152,Swansea,2015
Bailey Peacock-Farrell,0.0083353767535902,Burnley,2020
Baily Cargill,0.0007982781904048,Bournemouth,2016
Bakary Sako,0.001547153056294715,Crystal Palace,2018
Bali Mumba,0.0008193989185704,Norwich,2021
Bart Verbruggen,0.0282992718040698,Brighton and Hove Albion,2023
Bastian Schweinsteiger,0.0039988231289345,Manchester United,2015
Ben Brereton Díaz,0.004736378544220499,Sheffield Utd,2023
Ben Chilwell,0.006642231674418718,Chelsea,2023
Ben Davies,0.006782237048463716,Tottenham Hotspur,2023
Ben Doak,0.0007862520015525829,Liverpool,2023
Ben Foster,0.04140153772678668,Watford,2021
Ben Gibson,0.0062032926220178764,Norwich,2021
Ben Godfrey,0.005357465924016551,Everton,2023
Ben Hamer,0.009166051380081976,Huddersfield,2018
Ben Johnson,0.002912871044994029,West Ham United,2023
Ben Mee,0.007776730686038031,Brentford,2023
Ben Osborn,0.0034006444447616177,Sheffield Utd,2023
Ben Parkinson,0.0007772020725387999,Newcastle United,2023
Ben Pearson,0.0007384315547189,Bournemouth,2022
Ben Watson,0.002865812971199917,Watford,2017
Ben White,0.01104479660452238,Arsenal,2021
Ben Wilmot,0.0007977142769714,Watford,2018
Ben Woodburn,0.0008959757616594113,Liverpool,2017
Beni Baningime,0.0006553997782654,Everton,2017
Benicio Boaitey,0.0007772020725387999,Brighton and Hove Albion,2023
Benie Traore,0.0012465542871999,Sheffield Utd,2023
Benik Afobe,0.0062907331180473425,Bournemouth,2017
Benjamin Mendy,0.003809723275598697,Manchester City,2021
Benjamin White,0.010814243726761123,Arsenal,2023
Benoît Badiashile,0.005637899256424204,Chelsea,2023
Beram Kayal,0.0017380383933727178,Brighton and Hove Albion,2018
Bernard,0.005672335371199822,Everton,2020
Bernardo,0.0033171011409625214,Brighton and Hove Albion,2020
Bernardo Espinosa,0.0040243137527079,Middlesbrough,2016
Bernardo Silva,0.01780520404065559,Manchester City,2023
Bernd Leno,0.036903388323653634,Fulham,2023
Bersant Celina,0.0005741998622641,Manchester City,2015
Bertrand Traoré,0.002653240533787713,Aston Villa,2023
Beto,0.0050396740673324,Everton,2023
Billy Gilmour,0.004823694343447153,Brighton and Hove Albion,2023
Billy Jones,0.0070171957458109845,Sunderland,2016
Billy Sharp,0.004852550042613024,Sheffield Utd,2020
Björn Engels,0.0051935937978162,Aston Villa,2019
Boaz Myhill,0.01345042730091351,West Brom,2017
Bobby Clark,0.0005249690501042683,Liverpool,2023
Bobby Decordova-Reid,0.005515213104479896,Fulham,2023
Bobby Reid,0.005035097245880425,Fulham,2022
Bojan Krkić,0.004530951775736814,Stoke City,2017
Borja Bastón,0.0014326654297260064,Aston Villa,2019
Boubacar Kamara,0.006671374014675917,Aston Villa,2023
Boubacar Traoré,0.0014059821977176813,Wolverhampton Wanderers,2023
Boubakary Soumaré,0.003372702556709239,Leicester City,2022
Brad Guzan,0.023766836906474274,Middlesbrough,2016
Bradley Johnson,0.0005825979849847,Norwich,2015
Bradley Smith,0.0016599949449516622,Bournemouth,2016
Brahim Díaz,0.0005436238423163,Manchester City,2017
Brandon Aguilera,0.000479233226837,Nottingham Forest,2023
Brandon Mason,0.0012621176898609,Watford,2016
Brandon Pierrick,0.0010958600066132,Crystal Palace,2019
Brandon Williams,0.004607548453800943,Norwich,2021
Branislav Ivanović,0.003953279244193322,West Brom,2020
Brede Hangeland,0.0024154016909693,Crystal Palace,2015
Brenden Aaronson,0.0069382994451491,Leeds,2022
Brendon Galloway,0.0025765343396454547,West Brom,2016
Brennan Johnson,0.011848767840879149,Tottenham Hotspur,2023
Bruno Ecuele Manga,0.0102122359298331,Cardiff,2018
Bruno Fernandes,0.015574943960491923,Manchester United,2023
Bruno Guimarães,0.010890206012454712,Newcastle United,2023
Bruno Jordão,0.0005639490879795,Wolverhampton Wanderers,2019
Bruno Martins Indi,0.006361182940709387,Stoke City,2017
Bruno Saltor,0.005163139452360486,Brighton and Hove Albion,2018
Bryan Gil,0.0017354433546201444,Tottenham Hotspur,2023
Bryan Mbeumo,0.016029826127026036,Brentford,2023
