team,team_strength_E
Arsenal,0.009544758654061574
Aston Villa,0.007606800628935388
Bournemouth,0.004877049882683174
Brentford,0.004841515758468993
Brighton and Hove Albion,0.004161760961796569
Chelsea,0.008043073000765162
Crystal Palace,0.005946986894714783
Everton,0.005460075500188018
Fulham,0.007040818389727335
Ipswich Town,0.0012097367400585848
Leicester City,0.005035727872208552
Liverpool,0.01045629055336286
Manchester City,0.00969716730520049
Manchester United,0.005821795487354043
Newcastle United,0.007750916345457964
Nottingham Forest,0.005308573390902845
Southampton,0.0029140980149785054
Tottenham Hotspur,0.008410010694642053
West Ham United,0.005438551613720634
Wolverhampton Wanderers,0.004707743601301826
